378637.24125692,4940261.77473983,1
378635.84967859,4940260.96984202,1
378634.24273687,4940259.92175666,1
378632.71032546,4940259.04420003,1
378631.14186867,4940257.95823522,1
378629.95693671,4940256.76510678,1
378628.60548526,4940255.67748331,1
378627.36931605,4940255.9919509,1
378625.81365767,4940255.20860911,1
378624.37877072,4940254.244187,1
378622.83191162,4940252.97159116,1
378621.60686484,4940251.46416942,1
378620.66421896,4940249.92616365,1
378619.99318644,4940248.2341366,1
378619.69261866,4940246.39336554,1
378619.3654674,4940244.59765878,1
378618.57309319,4940242.82889272,1
378618.40531538,4940240.94928833,1
378618.49880592,4940239.15450453,1
378618.79861573,4940237.30202978,1
378619.10467346,4940235.49423044,1
378619.81795732,4940234.04673164,1
378620.66117784,4940232.13894851,1
378621.0016863,4940230.12766127,1
378621.03839764,4940228.20140883,1
378620.63135632,4940226.37389228,1
378619.83224875,4940224.67360707,1
378618.92965119,4940223.01825025,1
378617.66842721,4940221.46405416,1
378616.11763223,4940220.30050433,1
378614.97213468,4940219.01509613,1
378613.95467136,4940217.46917344,1
378612.95094232,4940215.90587404,1
378612.07493909,4940214.24782307,1
378611.35195462,4940212.5323093,1
378610.58692568,4940210.869426,1
378609.37026113,4940209.4668956,1
378608.04171493,4940208.22422858,1
378606.57297861,4940207.25266481,1
378604.94533315,4940206.34911635,1
378603.48319504,4940205.17506469,1
378601.83614318,4940203.99827439,1
378600.42819908,4940202.96843234,1
378598.91706144,4940201.85709937,1
378597.35855658,4940200.81099022,1
378595.81157046,4940199.7353497,1
378594.16724007,4940198.68573083,1
378592.34894745,4940198.22876911,1
378590.89508605,4940197.67087795,1
378589.37727921,4940196.58782729,1
378587.81614569,4940195.53205824,1
378586.32138788,4940194.5447046,1
378584.66139667,4940193.88711857,1
378582.89808085,4940193.38407527,1
378581.13254413,4940192.88340122,1
378579.35542221,4940192.4072122,1
378577.41424558,4940191.88501164,1
378576.10796095,4940191.29691469,1
378575.33756997,4940189.88311769,1
378574.16114315,4940188.65903705,1
378572.69866703,4940187.36344639,1
378571.07009302,4940185.94193693,1
378569.67979438,4940184.75310257,1
378568.2362974,4940183.62356618,1
378566.70905996,4940182.68403943,1
378565.21694562,4940181.63284156,1
378563.72127543,4940180.51975882,1
378562.43529915,4940179.08450661,1
378561.59470454,4940177.50599186,1
378561.17133021,4940175.68072166,1
378560.96351138,4940173.83779659,1
378560.7643597,4940171.9772855,1
378560.54407644,4940170.13084222,1
378560.1953015,4940168.26821526,1
378559.67867065,4940166.44706645,1
378559.41007323,4940164.56219217,1
378558.783618,4940162.86903792,1
378557.98892098,4940160.98098946,1
378557.08069133,4940159.37285497,1
378555.83529762,4940158.18874323,1
378554.94499449,4940156.5169449,1
378554.22723387,4940154.81487555,1
378553.52545416,4940153.06549244,1
378552.66980462,4940151.56290963,1
378551.63548231,4940150.06353952,1
378550.28362811,4940148.52075968,1
378548.95091298,4940147.24789153,1
378547.60792517,4940145.95810039,1
378546.20252413,4940144.69604387,1
378544.66473457,4940143.61864741,1
378543.09497186,4940142.5639055,1
378541.58424246,4940141.45732289,1
378540.04117048,4940140.49320056,1
378538.85013584,4940139.15793832,1
378537.89709166,4940137.39609576,1
378537.5709387,4940135.60494904,1
378537.46858047,4940133.76988792,1
378537.34608133,4940131.8964365,1
378536.82679752,4940130.31356061,1
378536.14705302,4940128.77486636,1
378535.87881392,4940127.53549164,1
